id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
111	adversarial machine learning	-0.3	-0.8162	5	49	122	21	2024.5238
162	ai	0.9371	-0.284	4	33	65	30	2024.5667
372	article	0.9444	-0.563	4	27	102	25	2024.96
382	artificial intelligence	0.5497	-0.3959	4	81	593	186	2024.914
540	automation	0.5018	0.4075	1	57	142	33	2025.0303
550	autonomous agents	-0.2258	0.6797	3	42	97	20	2024.95
598	behavioral research	0.2258	0.6121	3	64	234	45	2024.8889
607	benchmarking	0.0392	-0.5629	4	52	115	24	2024.5
742	case-studies	1.0192	-0.0388	1	29	66	18	2024.6111
774	chatbots	-0.2641	-0.064	2	65	171	38	2024.5
775	chatgpt	0.4974	-0.8948	4	38	121	54	2024.2037
927	codes (symbols)	0.6087	-0.1024	1	48	112	24	2024.875
992	collaborative learning	0.754	-0.4398	5	35	76	19	2024.5789
1003	collaborative robots	-1.0258	-0.3997	2	52	309	49	2024.898
1095	computational linguistics	0.2391	-0.4823	1	70	376	103	2024.2039
1234	contrastive learning	-0.1592	-0.7941	5	42	94	19	2024.4737
1505	decision making	0.2437	0.4481	3	75	327	63	2024.9524
1520	decisions makings	-0.0948	0.5012	3	58	157	31	2024.871
1525	deep learning	-0.1544	-0.4649	4	46	89	27	2024.8519
1854	economic and social effects	0.012	-0.6891	5	41	57	15	2024.6
2143	explainable ai	0.5386	0.6108	3	30	55	18	2024.8333
2241	feedback	0.4175	0.1966	1	39	68	15	2024.9333
2409	generative ai	0.6965	-0.2259	5	54	215	101	2024.7426
2422	generative artificial intelligence	0.3811	-0.6069	4	37	72	27	2024.7037
2698	human	0.824	-0.7114	4	32	133	35	2024.9143
2721	human computer interaction	0.029	0.3878	3	71	340	61	2025.082
2734	human engineering	-0.1381	0.1025	3	65	219	45	2024.8222
2775	human robot interaction	-0.7592	0.546	2	55	204	35	2024.7714
2776	human robots	-0.9628	0.4768	2	39	105	17	2024.8235
2793	human-ai collaboration	0.8349	0.027	5	58	292	116	2024.7241
2798	human-ai interaction	0.5848	0.2083	3	50	129	43	2024.5814
2821	human-centric	-0.597	-0.0496	2	32	68	15	2024.8667
2837	human-in-the-loop	0.4242	0.0156	1	75	378	115	2024.713
2873	human-machine	0.2829	0.2133	1	39	68	15	2024.4667
2874	human-machine collaboration	0.5575	0.3369	1	28	47	17	2024.4118
2883	human-robot collaboration	-0.8385	-0.1118	2	58	310	57	2024.8596
2890	human-robot interaction	-1.086	0.3478	2	44	169	31	2024.9032
2902	humans	0.7156	-1.0245	4	19	86	20	2024.95
2903	humans-robot interactions	-1.0826	0.0446	2	51	242	40	2024.825
